A-14P,A-14_Theotokos_Myrtle_Tree,0.049421196,0.731666667,7.316666667,10,0.0197
A-14.11x14M,A-14_Theotokos_Myrtle_Tree,2.866362473,0.731666667,10.24333333,14,0.75
A-14.11x14P,A-14_Theotokos_Myrtle_Tree,0.096865543,0.731666667,10.24333333,14,0.0197
A-14.16x20M,A-14_Theotokos_Myrtle_Tree,5.849719333,0.731666667,14.63333333,20,0.75
A-14.16x20P,A-14_Theotokos_Myrtle_Tree,0.197684782,0.731666667,14.63333333,20,0.0197
A-14.20x24M,A-14_Theotokos_Myrtle_Tree,8.42359584,0.731666667,17.56,24,0.75
A-14.20x24P,A-14_Theotokos_Myrtle_Tree,0.284666086,0.731666667,17.56,24,0.0197
A-14.24x30M,A-14_Theotokos_Myrtle_Tree,13.1618685,0.731666667,21.95,30,0.75
A-14.24x30P,A-14_Theotokos_Myrtle_Tree,0.44479076,0.731666667,21.95,30,0.0197
A-14.30x40M,A-14_Theotokos_Myrtle_Tree,23.39887733,0.731666667,29.26666667,40,0.75
A-14.30x40P,A-14_Theotokos_Myrtle_Tree,0.790739128,0.731666667,29.26666667,40,0.0197
A-14.40x50M,A-14_Theotokos_Myrtle_Tree,36.56074583,0.731666667,36.58333333,50,0.75
A-14.40x50P,A-14_Theotokos_Myrtle_Tree,1.235529888,0.731666667,36.58333333,50,0.0197
A-17.5x7M,A-17_Theotokos_Portaitissa_Keeper_of_Portal,0.522755333,0.726666667,5.086666667,7,0.5
A-17.5x7P,A-17_Theotokos_Portaitissa_Keeper_of_Portal,0.024050898,0.726666667,5.086666667,7,0.0197
A-17,A-17_Theotokos_Portaitissa_Keeper_of_Portal,1.452299333,0.726666667,7.266666667,10,0.75
A-17P,A-17_Theotokos_Portaitissa_Keeper_of_Portal,0.049083465,0.726666667,7.266666667,10,0.0197
A-17.11x14M,A-17_Theotokos_Portaitissa_Keeper_of_Portal,2.846506693,0.726666667,10.17333333,14,0.75
A-17.11x14P,A-17_Theotokos_Portaitissa_Keeper_of_Portal,0.096203592,0.726666667,10.17333333,14,0.0197
A-17.16x20M,A-17_Theotokos_Portaitissa_Keeper_of_Portal,5.809197333,0.726666667,14.53333333,20,0.75
